id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
DCP-LETT-1,"Congreve","Mary","Darwin","C. R.",1821-10-27,"27 Oct [1821]","unstated","","DAR 204: 186","","","DCP-LETT-1.xml"
DCP-LETT-1F,"Darwin","C. R.","","Friend",1822-01-01,"1 Jan 1822","","","DAR 271/1/1","","","DCP-LETT-1F.xml"
DCP-LETT-1G,"Darwin","C. R.","","Friend",1822-01-02,"2 Jan 1822","","","DAR 271/1/1","","","DCP-LETT-1G.xml"
DCP-LETT-1H,"Darwin","C. R.","","Friend",1822-01-03,"3 Jan 1822","","","DAR 271/1/1","","","DCP-LETT-1H.xml"
DCP-LETT-1J,"Darwin","C. R.","","Friend",1822-01-04,"4 Jan 1822","","","DAR 271/1/1","","","DCP-LETT-1J.xml"
DCP-LETT-1K,"Darwin","C. R.","","Friend",1822-01-04,"4 Jan 1822","","","DAR 271/1/1","","","DCP-LETT-1K.xml"
DCP-LETT-1M,"Darwin","C. R.","","Friend",1822-01-12,"12 Jan 1822","","","DAR 271.1.1: 6v","","","DCP-LETT-1M.xml"
DCP-LETT-2,"Darwin","E. A.","Darwin","C. R.",1822-10-25,"25 [Oct 1822]","[Cambridge]","","DAR 204: 2","","","DCP-LETT-2.xml"
DCP-LETT-3,"Darwin","E. A.","Darwin","C. R.",1822-11-14,"14 Nov 1822","[Cambridge]","","DAR 204: 3","","","DCP-LETT-3.xml"
DCP-LETT-4,"Darwin","E. A.","Darwin","C. R.",1822-12-08,"8 Dec 1822","[Cambridge]","","DAR 204: 4","","","DCP-LETT-4.xml"
DCP-LETT-5,"Darwin","E. A.","Darwin","C. R.",1823-03-05,"5 [Mar 1823]","[Cambridge]","","DAR 204: 5","","","DCP-LETT-5.xml"
DCP-LETT-6,"Darwin","E. A.","Darwin","C. R.",1823-05-18,"18 May 1823","[Cambridge]","","DAR 204: 6","","","DCP-LETT-6.xml"
DCP-LETT-7,"Darwin","Catherine","Darwin","C. R.",1823-06-01,"[c. June 1823]","[Maer]","","DAR 204: 1","","","DCP-LETT-7.xml"
DCP-LETT-8,"Warter","J. W.","Darwin","C. R.",1824-12-23,"23 Dec 1824","Cruck-Meole","","DAR 204: 188","","","DCP-LETT-8.xml"
DCP-LETT-9,"Darwin","E. A.","Darwin","C. R.",1825-01-10,"[10 Jan 1825]","[Cambridge]","","DAR 204: 7","","","DCP-LETT-9.xml"
DCP-LETT-10,"Darwin","E. A.","Darwin","C. R.",1825-01-17,"[17 Jan 1825]","[Cambridge]","","DAR 204: 8","","","DCP-LETT-10.xml"
DCP-LETT-11,"Darwin","E. A.","Darwin","C. R.",1825-01-24,"[24 Jan 1825]","unstated","","DAR 204: 9","","","DCP-LETT-11.xml"
DCP-LETT-12,"Darwin","E. A.","Darwin","C. R.",1825-02-01,"[1 Feb 1825]","unstated","","DAR 204: 10","","","DCP-LETT-12.xml"
DCP-LETT-13,"Darwin","E. A.","Darwin","C. R.",1825-02-24,"[24 Feb 1825]","[Cambridge]","","DAR 204: 11","","","DCP-LETT-13.xml"
DCP-LETT-14,"Darwin","E. A.","Darwin","C. R.",1825-03-08,"[8 Mar 1825]","[Cambridge]","","DAR 204: 12","","","DCP-LETT-14.xml"
DCP-LETT-15,"Darwin","E. A.","Darwin","C. R.",1825-06-01,"[June 1825]","[Cambridge]","","DAR 204: 13","","","DCP-LETT-15.xml"
DCP-LETT-16,"Darwin","C. R.","Darwin","R. W.",1825-10-23,"[23 Oct 1825]","Edinburgh","","DAR 154: 68","","","DCP-LETT-16.xml"
DCP-LETT-17,"Darwin","Catherine","Darwin","C. R.",1825-10-26,"[26 Oct 1825]","[Shrewsbury]","","DAR 204: 21","","","DCP-LETT-17.xml"
